'name', 'addr', '外卖', '图片', '好评', '中评', '差评', '口味', '环境', '服务', 'price'
肯德基(八佰伴店),张杨路501号二层,1.0,337.0,682.0,254.0,88.0,7.4,7.4,7.3, 27 
肯德基(四平店),四平路903号,1.0,186.0,313.0,135.0,51.0,7.3,7.3,7.1, 33 
肯德基(第一百货店),南京东路830号第一百货商业中心B馆1楼,1.0,222.0,305.0,142.0,87.0,7.3,7.3,7.2, 27 
肯德基(莘建店),水清南路20号,1.0,93.0,152.0,46.0,42.0,7.4,7.4,7.1, 28 
肯德基(凯旋店),宜山路站一层宜山-3-101号,1.0,152.0,279.0,134.0,73.0,7.3,7.2,7.1, 26 
肯德基(大连地铁站店),大连路555号,0.0,23.0,22.0,6.0,2.0,7.2,7.4,7.2,-
肯德基(张江店),张江路625号一层B座,1.0,59.0,127.0,34.0,16.0,7.4,7.5,7.2, 45 
肯德基(永业店),蒙自路25-27号1层及29-31号一层A商铺,1.0,184.0,236.0,57.0,36.0,7.7,7.7,7.6, 30 
肯德基(天潼店),天潼路538号,1.0,82.0,115.0,55.0,31.0,7.1,7.1,6.9, 41 
肯德基(打浦桥店),徐家汇路679号,1.0,358.0,407.0,113.0,42.0,7.8,7.7,7.7, 29 
肯德基(莘庄店),莘东路255号,0.0,88.0,153.0,60.0,29.0,7.7,7.7,7.6, 36 
肯德基(瑞金店),徐家汇路618号日月光中心广场徐家汇区B2层,1.0,370.0,435.0,151.0,67.0,7.4,7.4,7.3, 25 
